"","Business","addresses","Zip.Code","Care.Type","long","lat","geoAddress"
"163","Granger Elementary School","3702 South 1950 West, West Valley City, Utah",84119,"Exempt Afterschool Program",-111.944863,40.692123,"3702 s 1950 w, west valley city, ut 84119, usa"
"164","Midvale Boys & Girls Club Youth Program","P.O. Box 57071, Murray, Utah",84157,"Exempt Afterschool Program - DWS Approved",-111.8879909,40.6668916,"murray, ut, usa"
"165","Smart Kids 3","6990 South 1300 West, West Jordan, Utah",84084,"Center Licensed",-111.9296344,40.6244616,"6990 1300 w, west jordan, ut 84084, usa"
"166","Residential Certified","3493 West El Cabrio Drive, West Valley City, Utah",84119,"Residential Certified",-111.974468,40.705884,"3493 el cabrio dr, west valley city, ut 84119, usa"
"167","Family Licensed","1398 West Mason Hollow Drive, Riverton, Utah",84065,"Family Licensed",-111.931344,40.5305139,"1398 mason hollow dr, riverton, ut 84065, usa"
"168","Family, Friends & Neighbor","1238 Oros Ave, Salt Lake City, Utah",84124,"Family, Friends & Neighbor",-111.855871,40.684772,"1238 oros ave s, millcreek, ut 84124, usa"
"169","Family, Friends & Neighbor","1864 Independence Blvd, Salt Lake City, Utah",84116,"Family, Friends & Neighbor",-111.944553,40.8019842,"1864 independence blvd n, salt lake city, ut 84116, usa"
"170","Family, Friends & Neighbor","8476 S Fayeway Drive, Sandy, Utah",84094,"Family, Friends & Neighbor",-111.8571088,40.5974001,"8476 s fayeway dr, sandy, ut 84094, usa"
"171","Under the C","6439 S Clernates Dr., West Jordan, Utah",84081,"Family Licensed",-112.0174721,40.6344022,"6439 clernates dr, west jordan, ut 84081, usa"
"172","Family, Friends & Neighbor","13200 S 300 E, Draper, Utah",84020,"Family, Friends & Neighbor",-111.8821254,40.5119585,"13200 s 300 e, draper, ut 84020, usa"
"173","Family Licensed","9053 South Wisteria Way, West Jordan, Utah",84088,"Family Licensed",-112.0165581,40.5870155,"9053 wisteria way, west jordan, ut 84081, usa"
"174","Lotsa Tots II","4038 West 11800 South, South Jordan, Utah",84095,"Center Licensed",-111.9872281,40.5374493,"4038 11800 s, south jordan, ut 84095, usa"
"175","Lotsa Tots Child Care Center","10447 South 1585 West, South Jordan, Utah",84095,"Center Licensed",-111.9359011,40.57844,"10447 shellywood cir, south jordan, ut 84095, usa"
"176","Canyons 21st Century Community Learning Center - Midvale Elementary School","7830 Chapel St, Midvale, Utah",84047,"Exempt Afterschool Program",-111.9019552,40.6081112,"7830 chapel st, midvale, ut 84047, usa"
"177","Discovery Place Preschool","2375 E 3300 S, Salt Lake City, Utah",84109,"Exempt Center",-111.8227602,40.6999454,"2375e e 3300 s, salt lake city, ut 84109, usa"
"178","LifeTime Fitness School Age Program","10996 South River Front Parkway, South Jordan, Utah",84095,"Licensed Afterschool Program",-111.9186246,40.5518464,"10996 s river front pkwy, south jordan, ut 84095, usa"
"179","Family Licensed","5935 West Copper City Circle, Kearns, Utah",84118,"Family Licensed",-112.032691,40.650297,"5935 w copper city cir, kearns, ut 84118, usa"
"180","Precious Cargo Kids","5520 West Aristada Avenue, West Jordan, Utah",84081,"Family Licensed",-112.0226278,40.6282391,"5520 aristada ave, west jordan, ut 84081, usa"
"181","St Paul's Preschool & Childcare","261 South 900 East, Salt Lake City, Utah",84102,"Center Licensed",-111.865348,40.763382,"261 south 900 east, salt lake city, ut 84102, usa"
"182","Bright Horizons at Overstock.com","779 West Colesium Way, Midvale, Utah",84047,"Center Licensed",-111.9132884,40.6187279,"coliseum way, midvale, ut 84047, usa"
"183","Family Licensed","1263 West Jordan River Dr., South Jordan, Utah",84095,"Family Licensed",-111.9280368,40.5504042,"1263 w jordan river dr, south jordan, ut 84095, usa"
"184","Boys and Girls Club of GSL Sugarhouse","968 East Sugarmont Drive, Salt Lake City, Utah",84106,"Center Licensed",-111.8634054,40.7223679,"968 sugarmont dr, salt lake city, ut 84106, usa"
"185","Bingham High School Childcare","2106 W 10400 S, South Jordan, Utah",84095,"Exempt Center - Schoolbased",-111.9444467,40.5622844,"2106 s jordan pkwy, south jordan, ut 84095, usa"
"186","Glitter Child Care","2941 S. Losser Drive, West Valley City, Utah",84119,"Family Licensed",-111.970871,40.706804,"2941 losser dr, west valley city, ut 84119, usa"
"187","Kid Care Company","475 South Redwood Road, Salt Lake City, Utah",84104,"Center Licensed",-111.9382797,40.7590846,"475 s redwood rd, salt lake city, ut 84104, usa"
"188","Buttons n' Bows I","2600 East 3900 South, Salt Lake City, Utah",84124,"Center Licensed",-111.817525,40.6870729,"2600 3900 s, salt lake city, ut 84124, usa"
"189","Family Licensed","915 East LaCasa Circle, Sandy, Utah",84094,"Family Licensed",-111.865272,40.5539041,"915 e 10885 s, sandy, ut 84094, usa"
"190","Copper Hills High School Pre-School Lab","5445 W New Bingham Highway, West Jordan, Utah",84084,"Exempt Center - Schoolbased",-112.0186508,40.5942246,"5445 new bingham hwy, west jordan, ut 84081, usa"
"191","Family Licensed","4298 W. 5655 S., Kearns, Utah",84118,"Family Licensed",-111.993965,40.648635,"4298 w 5655 s, kearns, ut 84118, usa"
"192","Tender Touch Inc. (Midvale)","PO Box 865, Midvale, Utah",84047,"Center Licensed",-111.8999353,40.6110589,"midvale, ut, usa"
"193","YMCA - Eisenhower After School Program","4223 S Atherton Dr, Taylorsville, Utah",84123,"Exempt Afterschool Program - DWS Approved",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"194","YMCA Heber Day Camp","4223 S Atherton Dr, Taylorsville, Utah",84123,"Exempt Afterschool Program - DWS Approved",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"195","YMCA - Plymouth After School Program","4223 S Atherton Dr, Taylorsville, Utah",84123,"Exempt Afterschool Program - DWS Approved",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"196","Hunter Jr. High","6131 West 3785 South, West Valley City, Utah",84120,"Exempt Afterschool Program",-112.0373835,40.689672,"6131 w 3785 s, west valley city, ut 84128, usa"
"197","YMCA- Fox Hills After School Program","4223 S Atherton Dr, Taylorsville, Utah",84123,"Exempt Afterschool Program - DWS Approved",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"198","YMCA - Vista Elementary Tutoring Program","4223 S Atherton Dr, Taylorsville, Utah",84123,"Exempt Afterschool Program",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"199","YMCA Community Family Center - Taylorsville","4223 South Atherton Dr, Taylorsville, Utah",84123,"Center Licensed",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"200","YMCA - Redwood After School Program","4223 S Atherton Dr, Taylorsville, Utah",84123,"Exempt Afterschool Program - DWS Approved",-111.9353391,40.6783658,"4223 south atherton drive, taylorsville, ut 84123, usa"
"201","Residential Certified","153 Emberly Lane, Murray, Utah",84107,"Residential Certified",-111.8864738,40.6511502,"153 emberly ln, murray, ut 84107, usa"
"202","Residential Certified","3115 Marseilles Way, West Valley City, Utah",84119,"Residential Certified",-111.93496,40.702697,"3115 marseilles way, west valley city, ut 84119, usa"
"203","Family Licensed","621 S 1200 W, Salt Lake City, Utah",84104,"Family Licensed",-111.9259168,40.7557276,"621 s 1200 w, salt lake city, ut 84104, usa"
"204","Bright Kids","526 North Irie Lane, Salt Lake City, Utah",84116,"Family Licensed",-111.9398057,40.780864,"526 n irie ln, salt lake city, ut 84116, usa"
"205","Sandra Faber Daycare","3164 Summer Street, West Jordan, Utah",84084,"Family Licensed",-111.965678,40.6132129,"3164 w summer st, west jordan, ut 84084, usa"
"206","Jack & Jill Daycare/Preschool","9641 South 700 East, Sandy, Utah",84070,"Center Licensed",-111.87161,40.576309,"9641 700 e, sandy, ut 84070, usa"
"207","Residential Certified","3472 S Hedon Place, West Valley City, Utah",84119,"Residential Certified",NA,NA,"3270 s 8400 w, magna, ut 84044, usa"
"208","Family, Friends & Neighbor","558 N. Redwood Rd., Salt Lake City, Utah",84116,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"209","Family, Friends & Neighbor","3777 S Pavant Dr, West Valley City, Utah",84120,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"210","Kearns Library","4220 West 5350 South, Kearns, Utah",84118,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"211","Bernice's Daycare","566 East Howard Drive, Sandy, Utah",84070,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"212","Family, Friends & Neighbor","76 W Draney, Taylorsville, Utah",84123,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"213","Kiddie Place Daycare","10055 S Blossom Drive, Sandy, Utah",84070,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"214","SLCAP Head Start - Horizonte Head Start","1234 South Main Street, Salt Lake City, Utah",84101,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"215","YouthWorks","622 West 500 North, Salt Lake City, Utah",84116,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"216","Family Licensed","3737 South 8035 West, Magna, Utah",84044,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"217","Pacific Heritage Academy","1755 W 1100 N, Salt Lake City, Utah",84116,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"218","Family, Friends & Neighbor","807 E Vine St, Murray, Utah",84107,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"219","Family, Friends & Neighbor","13528 S Venicia Way, Draper, Utah",84020,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"220","Mother's Helper Child Care - Sandy","7890 Siesta Dr., Sandy, Utah",84093,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"221","Mother's Helper Child Care-South Jordan","9538 South Redwood Road, South Jordan, Utah",84095,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"222","Murray Boys & Girls Club Youth Program","PO Box 57071, Murray, Utah",84157,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"223","Midas Creek Preschool","4502 W Spring Park Cir., Riverton, Utah",84096,"Exempt In Home",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"224","Family Licensed","3275 South 4300 West, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"225","Young Scholars Academy","PO Box 853, Draper, Utah",84020,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"226","University of Utah Club U","1901 E South Campus Dr, Salt Lake City, Utah",84112,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"227","Sunnyvale Neighborhood Center Elementary After School Program","585 W 3900 S, Salt Lake City, Utah",84123,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"228","Sunnyvale Neighborhood Center","595 W 3900 S, Murray, Utah",84123,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"229","Evergreen Jr High ACE Afterschool Program","155 S 300 W, Salt Lake City, Utah",84101,"Registered Teen Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"230","Northwest Middle School ACE Afterschool Program","155 S 300 W, Salt Lake City, Utah",84101,"Registered Teen Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"231","Olympus High School ACE Afterschool Program","155 S 300 W, Salt Lake City, Utah",84101,"Registered Teen Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"232","Family, Friends & Neighbor","3940 W Kilt St, South Jordan, Utah",84009,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"233","Family, Friends & Neighbor","PO BOX 1631, Salt Lake City, Utah",84110,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"234","B' Awesome Childcare","2966 Lehi Dr, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"235","CAC - Children's Service Society","655 East 4500 South, Suite 200, Salt Lake City, Utah",84107,"Other Facility",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"236","The Tim and Brenda Huval Child Care Center","1575 S State Street N190, Salt Lake City, Utah",84115,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"237","Miss Norma's Child Care","3991 South 3250 West, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"238","Family, Friends & Neighbor","116 E Garden Ave, Salt Lake City, Utah",84115,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"239","Family Licensed","8671 South 1365 West, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"240","Mother's Helper Child Care-Fort Union","2138 East 7000 South, Salt Lake City, Utah",84121,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"241","Doodle Bug Preschool/Daycare","11752 Casper Road, Sandy, Utah",84092,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"242","Promise South Salt Lake","3600 S 700 W, Salt Lake City, Utah",84119,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"243","Promise South Salt Lake - Meadowbrook STEM Center","220 E. Morris Ave, Salt Lake City, Utah",84115,"Exempt Afterschool Program - DWS Approved",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"244","Family Licensed","10703 South 540 East, Sandy, Utah",84070,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"245","La Petite Academy - Alta Canyon","2105 East Alta Canyon Dr., Sandy, Utah",84093,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"246","Kearns Oquirrh Park Fitness Center Kids Club","5624 South 4800 West, Kearns, Utah",84118,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"247","Family Licensed","4770 South 3040 West, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"248","Just 4 Kids Adventures, Inc.","13279 S 2700 W, Riverton, Utah",84065,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"249","Lit'l Scholars Learning Center Taylorsville Inc.","4732 South 1950 West, Salt Lake City, Utah",84118,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"250","Family, Friends & Neighbor","1781 West Norman Drive, West Valley City, Utah",84119,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"251","My Lil' Angels Home Daycare","4453 Bluff Ridge Drive, West Valley City, Utah",84128,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"252","Forever Children","494 East 2700 South, Salt Lake City, Utah",84115,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"253","Willowcreek Children's Center","2309 East 9400 South, Sandy, Utah",84093,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"254","St. Vincent Depaul School","1385 E Spring Lane, Salt Lake City, Utah",84117,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"255","Family, Friends & Neighbor","2020 E 7205 S, Cottonwood Heights, Utah",84121,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"256","YWCA of Salt Lake City","322 East 300 South, Salt Lake City, Utah",84111,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"257","Family Licensed","4709 W Delta Park Circle, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"258","Residential Certified","10744 South 895 East, Sandy, Utah",84094,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"259","Tender Touch","2612 West Adobe Circle, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"260","C Street Child Development Center","12 C Street, Salt Lake City, Utah",84103,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"261","Family, Friends & Neighbor","11251 S State St, Sandy, Utah",84070,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"262","Family Licensed","2771 South Breeze Drive, Magna, Utah",84044,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"263","Family Licensed","3812 Edgewater Circle, West Valley City, Utah",84120,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"264","Aisha Daycare","3725 Valley Pointe Court, West Valley City, Utah",84128,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"265","Expressions Learning Center","8627 South Redwood Road, West Jordan, Utah",84088,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"266","Over the Rainbow-Riverton","1830 West 12600 South, Riverton, Utah",84065,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"267","Alta High Preschool","11055 S 1000 E, Sandy, Utah",84094,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"268","Mother's Helper Child Care- Cottonwood","5875 South 1300 East, Salt Lake City, Utah",84121,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"269","Family, Friends & Neighbor","6890 S Virginia Hills Dr, Cottonwood Heights, Utah",84121,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"270","Caring for Kids, Inc","500 Chipeta Way, Salt Lake City, Utah",84108,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"271","Brighton High School Bengal Paw Preschool","2220 E 7600 S, Cottonwood Heights, Utah",84121,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"272","Family, Friends & Neighbor","4229 W 5855 S, Kearns, Utah",84118,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"273","Family Licensed","228 East 9000 South, Sandy, Utah",84070,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"274","Kidzone","202 E. Murray Park Avenue, Murray, Utah",84107,"Hourly Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"275","Family Licensed","11306 South Sandy Creek Drive, Sandy, Utah",84094,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"276","Stansbury Elementary School","3050 South 2700 West, West Valley City, Utah",84119,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"277","Madina Masjid Youth Program","1773 W North Temple, Salt Lake City, Utah",84116,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"278","Little Leopards Preschool at East High","840 S 1300 E, Salt Lake City, Utah",84102,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"279","Family, Friends & Neighbor","4311 W 5100 S, Kearns, Utah",84118,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"280","The Playhouse Childcare","1593 W Manzanita Dr, Taylorsville, Utah",84123,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"281","Family Licensed","968 East Sunburn Lane, Sandy, Utah",84094,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"282","Mt Olympus Christian Child Development","3280 East 3900 South, Salt Lake City, Utah",84124,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"283","Riverton High School Childcare","12476 S 2700 W, Riverton, Utah",84065,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"284","AJ's Treehouse","7711 South 700 East, Sandy, Utah",84047,"Hourly Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"285","Happy Apples Daycare","4545 W 4835 S, Kearns, Utah",84118,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"286","Boys & Girls Club of South Valley- Murray Teen Center","244 East Myrtle Avenue, Murray, Utah",84107,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"287","Makiko's Daycare Center","11930 South Redwood Rd, Riverton, Utah",84065,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"288","Makiko's Daycare","730 East 4500 South, Murray, Utah",84107,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"289","Little Angels Child Care","8914 South Midvalley Drive, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"290","The Children's Cottage","4615 South Highland Drive, Holladay, Utah",84117,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"291","Family, Friends & Neighbor","9300 South Redwood Road, West Jordan, Utah",84088,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"292","Family Licensed","13542 Heather Daisy Drive, Herriman, Utah",84096,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"293","Carden Memorial School","1452 East 2700 South, Salt Lake City, Utah",84106,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"294","Family Licensed","9533 South 300 East, Sandy, Utah",84070,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"295","Utah Community Action Head Start - U of U (NBS)","1307 S 900 W, Salt Lake City, Utah",84104,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"296","ABC Great Beginnings -  West Jordan","8897 S 2070 W, West Jordan, Utah",84088,"Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"297","Alta Canyon Sports Center","9565 South Highland Drive, Sandy, Utah",84092,"Licensed Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"298","Alta Canyon Sports Hourly Center","9565 South Highland Drive, Sandy, Utah",84092,"Hourly Center Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"299","Magna Library Afterschool Program","2675 S 8950 W, Magna, Utah",84044,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"300","Chuckles-n-Cuddles","7648 South 2290 West, West Jordan, Utah",84084,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"301","Black Diamond Sports Center","11274 Kestrel Rise Road Ste. A, South Jordan, Utah",84009,"Licensed Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"302","Corner Canyon High School - Preschool Lab","12943 S 700 E, Draper, Utah",84020,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"303","Somali Bantu Youth Program","3335 S 900 E, Salt Lake City, Utah",84106,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"304","Family, Friends & Neighbor","532 N. Redwood Rd., Salt Lake City, Utah",84116,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"305","Family, Friends & Neighbor","1638 W Secret Garden Place, Salt Lake City, Utah",84104,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"306","Family Licensed","1859 West 700 North, Salt Lake City, Utah",84116,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"307","Francine Child Care","3727 South 8035 West, Magna, Utah",84044,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"308","Family, Friends & Neighbor","7316 South 1370 West, West Jordan, Utah",84084,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"309","Second Home Daycare","1427 South Utahna Drive, Salt Lake City, Utah",84104,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"310","Family, Friends & Neighbor","3442 S River Dock, West Valley City, Utah",84119,"Family, Friends & Neighbor",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"311","Francoise's Daycare","2988 S. Losser Dr., West Valley City, Utah",84118,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"312","Entheos 4-H Afterschool - Magna","4710 W 6200 S, Kearns, Utah",84118,"Exempt Afterschool Program",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"313","Family Licensed","5076 West 6055 South, Kearns, Utah",84118,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"314","Residential Certified","3223 S Lehi Dr, West Valley City, Utah",84119,"Residential Certified",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"315","Katie Jenkins' Daycare","2040 West 6245 South, Taylorsville, Utah",84129,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"316","Family Licensed","6229 S Fashion Blvd Rear, Murray, Utah",84107,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"317","Family Licensed","3401 W 3100 S, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"318","Sadies Daycare","2811 W Haun Dr, West Jordan, Utah",84088,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"319","Family Licensed","3719 South Lancashire Circle, West Valley City, Utah",84119,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"320","West High Childcare","241 N 300 W, Salt Lake City, Utah",84103,"Exempt Center - Schoolbased",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"321","Angel's Dream Daycare","11613 Grandville Avenue, South Jordan, Utah",84095,"Family Licensed",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
"322","Wasatch Presbyterian Preschool","1626 S 1700 E, Salt Lake City, Utah",84108,"Exempt Center",-112.0924399,40.6999283,"3270 s 8400 w, magna, ut 84044, usa"
